coral_number,site,habitat,transect,taxa,x,y,z,year,length,width,height,observer,note,note_extra
16,LTER1,BR,P1,Poc,1.7,30,0,2020,NA,NA,NA,NA,NA,NA
16,LTER1,BR,P1,Poc,1.7,30,0,2021,NA,NA,NA,NA,NA,NA
17,LTER1,BR,P1,Poc,1.7,10,13,2013,NA,NA,NA,NA,NA,NA
17,LTER1,BR,P1,Poc,1.7,10,13,2014,NA,NA,NA,NA,NA,NA
17,LTER1,BR,P1,Poc,1.7,10,13,2015,NA,NA,NA,NA,NA,NA
17,LTER1,BR,P1,Poc,1.7,10,13,2016,NA,NA,NA,NA,NA,NA
17,LTER1,BR,P1,Poc,1.7,10,13,2017,NA,NA,NA,NA,NA,NA
17,LTER1,BR,P1,Poc,1.7,10,13,2018,1,1,1,HSL,NA,R
17,LTER1,BR,P1,Poc,1.7,10,13,2019,NA,NA,NA,EW,D,NA
17,LTER1,BR,P1,Poc,1.7,10,13,2020,NA,NA,NA,NA,NA,NA
17,LTER1,BR,P1,Poc,1.7,10,13,2021,NA,NA,NA,NA,NA,NA
18,LTER1,BR,P1,Poc,1.73,35,18,2013,NA,NA,NA,MK,NA,NA
18,LTER1,BR,P1,Poc,1.73,35,18,2014,NA,NA,NA,MK,NA,NA
18,LTER1,BR,P1,Poc,1.73,35,18,2015,1.7,1.2,1.7,MK,R,NA
18,LTER1,BR,P1,Poc,1.73,35,18,2016,NA,NA,NA,MK,D,NA
18,LTER1,BR,P1,Poc,1.73,35,18,2017,NA,NA,NA,EW,NA,NA
18,LTER1,BR,P1,Poc,1.73,35,18,2018,NA,NA,NA,HSL,NA,NA
18,LTER1,BR,P1,Poc,1.73,35,18,2019,NA,NA,NA,EW,NA,NA
18,LTER1,BR,P1,Poc,1.73,35,18,2020,NA,NA,NA,NA,NA,NA
18,LTER1,BR,P1,Poc,1.73,35,18,2021,NA,NA,NA,NA,NA,NA
19,LTER1,BR,P1,Poc,1.73,50,50,2013,NA,NA,NA,NA,NA,NA
19,LTER1,BR,P1,Poc,1.73,50,50,2014,NA,NA,NA,NA,NA,NA
19,LTER1,BR,P1,Poc,1.73,50,50,2015,NA,NA,NA,NA,NA,NA
19,LTER1,BR,P1,Poc,1.73,50,50,2016,NA,NA,NA,NA,NA,NA
19,LTER1,BR,P1,Poc,1.73,50,50,2017,NA,NA,NA,NA,NA,NA
19,LTER1,BR,P1,Poc,1.73,50,50,2018,NA,NA,NA,NA,NA,NA
19,LTER1,BR,P1,Poc,1.73,50,50,2019,19,25,20,EW,NA,NA
19,LTER1,BR,P1,Poc,1.73,50,50,2020,NA,NA,NA,NA,D,NA
19,LTER1,BR,P1,Poc,1.73,50,50,2021,NA,NA,NA,NA,NA,NA
20,LTER1,BR,P1,Poc,1.95,97,46,2013,3,3,3.3,MK,NA,NA
20,LTER1,BR,P1,Poc,1.95,97,46,2014,NA,NA,NA,MK,D,NA
20,LTER1,BR,P1,Poc,1.95,97,46,2015,NA,NA,NA,MK,NA,NA
20,LTER1,BR,P1,Poc,1.95,97,46,2016,NA,NA,NA,MK,NA,NA
20,LTER1,BR,P1,Poc,1.95,97,46,2017,NA,NA,NA,EW,NA,NA
20,LTER1,BR,P1,Poc,1.95,97,46,2018,NA,NA,NA,HSL,NA,NA
20,LTER1,BR,P1,Poc,1.95,97,46,2019,NA,NA,NA,EW,NA,NA
20,LTER1,BR,P1,Poc,1.95,97,46,2020,NA,NA,NA,NA,NA,NA
20,LTER1,BR,P1,Poc,1.95,97,46,2021,NA,NA,NA,NA,NA,NA
